"organisation_name","category","suburb","postcode","state","address_line","lga","phone","public_email","website_url","contact_form_url","tags","workshop_relevance","source_url","last_verified","notes","lat","lon","website_checked","email_quality"
"Marymead CatholicCare Canberra & Goulburn","NGOs/Charities (family, disability, mental health)","Braddon","2612","ACT","51 Cooyong Street, Unincorporated ACT","02 6162 6100","enquiries@mccg.org.au","https://mccg.org.au","","disability;family;autism;NDIS;counselling","Directly delivers Autism Connect helpline for ACT and provides family counselling and disability services — a primary partner for autism workshop referrals.","https://mccg.org.au/contact/","2026-03-10","Merged with CatholicCare Canberra & Goulburn in 2023. Also runs Autism Connect for the ACT region.","","","","true","valid"
"YWCA Canberra","Parent/Carer Support Organisations","Canberra City","2601","ACT","Level 2 71 Northbourne Avenue, Unincorporated ACT","02 6185 2000","canberra@ywca-canberra.org.au","https://ywca-canberra.org.au","https://ywca-canberra.org.au/contact/","women;families;children;early childhood;community","Supports women and families across Canberra with services relevant to parents of children with autism attending workshops.","https://ywca-canberra.org.au/contact/","2026-03-10","Also operates children's services division.","","","","true","valid"
"Woden Community Service","Community Centres & Neighbourhood Houses","Phillip","2606","ACT","Westfield Woden Suite 003 Keltie Street, Unincorporated ACT","02 6282 2644","info@wcs.org.au","https://www.wcs.org.au","https://www.wcs.org.au/contact-us/","community;support;Woden;family;crisis","Hub for community services in the Woden Valley area — well-positioned to promote autism workshops to families in the south.","","2026-03-10","Also operates youth and emergency relief programs.","","","","true","valid"
"Communities@Work","Community Centres & Neighbourhood Houses","Greenway","2900","ACT","145 Cowlishaw Street, Unincorporated ACT","02 6293 6500","marketing@commsatwork.org","https://www.commsatwork.org","https://www.commsatwork.org/contact-us/","community;children;Tuggeranong;family;NDIS","Operates multiple community hubs and child care across Tuggeranong and south Canberra — good reach for workshop promotion in that corridor.","https://www.commsatwork.org/about-us/contact-us/","2026-03-10","Runs Tuggeranong Community Centre and various family programs.","","","","true","valid"
"Capital Region Community Services (CRCS)","Community Centres & Neighbourhood Houses","Belconnen","2617","ACT","23 Swanson Court, Unincorporated ACT","02 6264 0200","contact@crcs.com.au","https://crcs.com.au","https://crcs.com.au/about-crcs/contact-crcs/","community;children;Belconnen;family;aged","Key north Canberra community services provider with reach to families and carers who may benefit from autism workshops.","https://crcs.com.au/about-crcs/contact-crcs/","2026-03-10","Operates Belconnen Community Centre and multiple programs.","","","","true","valid"
"Northside Community Service","Community Centres & Neighbourhood Houses","Dickson","2602","ACT","2 Rosevear Place, Unincorporated ACT","02 6171 8000","reception@northside.asn.au","https://www.northside.asn.au","https://www.northside.asn.au/contact/","community;north Canberra;family;welfare;advocacy","Provides services to inner-north Canberra families — high-traffic community hub for sharing autism workshop flyers and referrals.","https://www.northside.asn.au/contact/","2026-03-10","Based in Dickson serving inner north Canberra.","","","","true","valid"
"Winnunga Nimmityjah Aboriginal Health Service","Aboriginal & Torres Strait Islander Services","Narrabundah","2604","ACT","63 Boolimba Crescent, Unincorporated ACT","02 6284 6222","reception@winnunga.org.au","https://winnunga.org.au","https://winnunga.org.au/find-us/","Aboriginal;ATSI;health;community;family","Primary Aboriginal community health service in ACT — essential partner for reaching First Nations families with autistic children attending workshops.","https://winnunga.org.au/find-us/","2026-03-10","Holistic health and social services for Aboriginal and Torres Strait Islander people in ACT.","","","","true","valid"
"Gugan Gulwan Youth Aboriginal Corporation","Aboriginal & Torres Strait Islander Services","Wanniassa","2903","ACT","Wanniassa, Unincorporated ACT","","","https://gugan-gulwan.com.au","","Aboriginal;ATSI;youth;community","Provides culturally safe services for young Aboriginal people — a key contact for autism workshop access for First Nations youth.","https://gugan-gulwan.com.au/","2026-03-10","New facility opened 2025 in Wanniassa. Contact via website.","","","","true","missing"
"Menslink","Youth Services","Holder","2611","ACT","Holder, Unincorporated ACT","02 6239 4699","","https://menslink.org.au","","youth;men;boys;mental health;counselling","Supports young men aged 10-25 — an avenue for promoting autism workshops relevant to teenage and young adult autistic males.","https://menslink.org.au/","2026-03-10","Counselling and mentoring for young men in ACT.","","","","true","missing"
"Relationships Australia Canberra & Region","Parent/Carer Support Organisations","Deakin","2600","ACT","15 Napier Close, Unincorporated ACT","1300 364 277","enquiries@racr.relationships.org.au","https://racr.org.au","https://racr.org.au/contact-us/","family;relationships;counselling;parenting;mediation","Provides relationship and family counselling — well-placed to refer parents of autistic children to support workshops.","https://racr.org.au/contact-us/","2026-03-10","Also covers surrounding NSW regions.","","","","true","valid"
"Parentline ACT","Parent/Carer Support Organisations","Weston Creek","2611","ACT","PO Box 4038 Weston Creek, Unincorporated ACT","02 6287 3833","parentline@parentlineact.org.au","http://parentlineact.org.au","http://parentlineact.org.au/contact-us/","parenting;phone support;counselling;family","Telephone counselling for parents — can refer callers to autism workshops and share workshop information with their network.","http://parentlineact.org.au/contact-us/","2026-03-10","Postal address only. Phone counselling 9am-4pm Mon-Fri.","","","","true","valid"
"Capital Health Network (ACT PHN)","Health Services & Primary Health Networks","Belconnen","2617","ACT","Level 2 Suite 2.2 40 Cameron Avenue, Unincorporated ACT","","","https://www.chnact.org.au","https://www.chnact.org.au/contact-us/","PHN;primary health;mental health;NDIS;GP network","Primary Health Network commissioning services across ACT — a strategic partner for autism workshop promotion to GPs and allied health.","https://www.chnact.org.au/about-us/","2026-03-10","ACT Primary Health Network (PHN) — key strategic partner for health promotion.","","","","true","missing"
"Companion House","Multicultural & Settlement Services","Cook","2614","ACT","41 Templeton Street, Unincorporated ACT","02 6251 4550","info@companionhouse.org.au","https://www.companionhouse.org.au","https://www.companionhouse.org.au/contact/","refugee;torture;trauma;settlement;multicultural","Supports survivors of torture and trauma from refugee backgrounds — a pathway to culturally safe autism awareness for new arrivals.","https://www.companionhouse.org.au/contact/","2026-03-10","Provides medical and psychosocial support to asylum seekers and refugees.","","","","true","valid"
