"organisation_name","category","suburb","postcode","state","address_line","lga","phone","public_email","website_url","contact_form_url","tags","workshop_relevance","source_url","last_verified","notes","lat","lon","website_checked","email_quality"
"Karitane (Randwick)","Early Childhood & Family Services","Randwick","2031","NSW","Karitane Hospital, 146 Avoca Street, Randwick NSW 2031","Randwick","(02) 9794 2300","","https://karitane.com.au/locations","https://karitane.com.au/contact/","early-parenting,parenting-support,babies","Early parenting support service that can promote workshops to new parents and carers.","https://karitane.com.au/locations","2026-03-09","Randwick centre selected as NSW metro anchor location.","","","true","missing"
"Tresillian Canterbury","Early Childhood & Family Services","Belmore","2192","NSW","McKenzie St, Belmore NSW 2192","Canterbury-Bankstown","(02) 9123 8800","","https://www.tresillian.org.au/services-locations/locations/canterbury/","https://www.tresillian.org.au/about-us/contact/","early-parenting,parenting-support,infants","Early parenting and family support pathway for workshop referrals in metropolitan Sydney.","https://www.tresillian.org.au/services-locations/locations/canterbury/","2026-03-09","Service location page includes centre contact details.","","","true","missing"
"The Infants' Home","Early Childhood & Family Services","Ashfield","2131","NSW","17 Henry Street, Ashfield NSW 2131","Inner West","(02) 9799 4844","mail@theinfantshome.org.au","https://theinfantshome.org.au","https://theinfantshome.org.au/contact-us/","early-childhood,family-support,allied-health","Integrated child and family services with strong relevance for parent workshop promotion.","https://theinfantshome.org.au/contact-us/","2026-03-09","","","","true","valid"
"Cerebral Palsy Alliance","Disability & NDIS Services","Allambie Heights","2100","NSW","187 Allambie Road, Allambie Heights NSW 2100","Northern Beaches","1300 888 378","ask@cerebralpalsy.org.au","https://cerebralpalsy.org.au","https://cerebralpalsy.org.au/contact-us/","disability,ndis,therapy","Major disability service provider with family-facing supports and referral pathways.","https://cerebralpalsy.org.au/contact-us/","2026-03-09","","","","true","valid"
"Disability Advocacy NSW","Disability & NDIS Services","Newcastle West","2302","NSW","Suite 1, Level 2 Devonshire House, 408 King St, Newcastle West NSW 2302","Newcastle","1300 365 085","da@da.org.au","https://www.da.org.au","https://www.da.org.au/contact","disability,advocacy,regional","Advocacy network can connect families and community organisations to workshop opportunities.","https://www.da.org.au/contact","2026-03-09","","","","true","valid"
"Carers NSW (Head Office)","Parent/Carer Support Organisations","North Sydney","2060","NSW","Level 10, 213 Miller Street, North Sydney NSW 2060","North Sydney","02 9280 4744","contact@carersnsw.org.au","https://www.carersnsw.org.au","https://www.carersnsw.org.au/contact-us","carers,parent-support,peer-support","Peak carer body with established communication channels to unpaid carers across NSW.","https://www.carersnsw.org.au/contact-us","2026-03-09","","","","true","valid"
"The Benevolent Society (NSW Support Centre)","Parent/Carer Support Organisations","Glebe","2037","NSW","2E Wentworth Park Road, Glebe NSW 2037","Sydney","1800 236 762","","https://www.benevolent.org.au","https://www.benevolent.org.au/contact-us/locations","family-support,carers,community-services","Large family and parenting support provider suitable for workshop referral and co-promotion pathways.","https://www.benevolent.org.au/contact-us/locations","2026-03-09","","","","true","missing"
"The Junction Neighbourhood Centre","Community Centres & Neighbourhood Houses","Bondi Junction","2022","NSW","59 Newland Street, Bondi Junction NSW 2022","Waverley","(02) 9349 8200","contact@jnc.org.au","https://jnc.org.au","https://jnc.org.au/contact-us/","community-centre,families,eastern-suburbs","Local centre with community and family services suitable for local workshop notices and referrals.","https://jnc.org.au/contact-us/","2026-03-09","","","","true","valid"
"Bathurst Neighbourhood Centre","Community Centres & Neighbourhood Houses","Bathurst","2795","NSW","96 Russell Street, Bathurst NSW 2795","Bathurst","(02) 6332 4866","binc@binc.org.au","https://www.binc.org.au","https://www.binc.org.au/contact-us/","community-centre,regional,families","Regional community hub that can promote workshops through local support programs.","https://www.binc.org.au/contact-us/","2026-03-09","","","","true","valid"
"Chester Hill Neighbourhood Centre","Community Centres & Neighbourhood Houses","Chester Hill","2162","NSW","89-91 Waldron Road, Chester Hill NSW 2162","Canterbury-Bankstown","(02) 9645 3700","manager@chnc.org.au","https://chnc.org.au","https://chnc.org.au/","community-centre,youth,families","Neighbourhood centre with child, family and youth services relevant to local workshop outreach.","https://chnc.org.au/","2026-03-09","","","","true","valid"
