organisation_name,category,suburb,postcode,state,address_line,lga,phone,public_email,website_url,contact_form_url,tags,workshop_relevance,source_url,last_verified,notes,lat,lon,website_checked,email_quality
headspace Albury-Wodonga,Mental Health & Counselling,Wodonga,3690,VIC,,Wodonga,1300 332 022,headspaceAW@gatewayhealth.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/albury-wodonga/,2026-03-09,,,,true,verified
headspace Armstrong Creek,Mental Health & Counselling,Armstrong Creek,3217,VIC,,Greater Geelong,(03) 5212 9048,headspace.armstrongcreek@stride.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/armstrong-creek/,2026-03-09,,,,true,verified
headspace Bairnsdale,Mental Health & Counselling,Bairnsdale,3875,VIC,,East Gippsland,(03) 5141 6200,info@headspacebairnsdale.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/bairnsdale/,2026-03-09,,,,true,verified
headspace Ballarat,Mental Health & Counselling,Ballarat,3350,VIC,,City of Ballarat,(03) 5304 4777,info@headspaceballarat.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/ballarat/,2026-03-09,,,,true,verified
headspace Bendigo,Mental Health & Counselling,Bendigo,3550,VIC,,City of Greater Bendigo,(03) 5406 1400,headspace@bchs.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/bendigo/,2026-03-09,,,,true,verified
headspace Bentleigh,Mental Health & Counselling,Bentleigh,3204,VIC,,Glen Eira,(03) 9076 9400,headspacebentleigh@alfred.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/bentleigh/,2026-03-09,,,,true,verified
headspace Box Hill,Mental Health & Counselling,Box Hill,3128,VIC,,Whitehorse,(03) 9810 9310,boxhill.headspace@mindaustralia.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/box-hill/,2026-03-09,,,,true,verified
headspace Colac,Mental Health & Counselling,Colac,3250,VIC,,Colac-Otway Shire,(03) 5232 5520,headspacecolac@barwonhealth.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/colac/,2026-03-09,,,,true,verified
headspace Collingwood,Mental Health & Counselling,Abbotsford,3067,VIC,,Yarra,(03) 9417 0150,reception@collingwoodheadspace.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/collingwood/,2026-03-09,,,,true,verified
headspace Corio,Mental Health & Counselling,Norlane,3214,VIC,,Greater Geelong,(03) 5202 8290,headspace.corio@stride.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/corio/,2026-03-09,,,,true,verified
headspace Craigieburn,Mental Health & Counselling,Craigieburn,3064,VIC,,Hume,(03) 8338 0919,info-headspacecraigieburn@orygen.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/craigieburn/,2026-03-09,,,,true,verified
headspace Dandenong,Mental Health & Counselling,Dandenong,3175,VIC,,Greater Dandenong,1800 367 968,enquiries@headspacedandenong.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/dandenong/,2026-03-09,,,,true,verified
headspace Echuca,Mental Health & Counselling,Echuca,3564,VIC,,Campaspe Shire,(03) 5485 5048,headspace@erh.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/echuca/,2026-03-09,,,,true,verified
headspace Elsternwick,Mental Health & Counselling,Elsternwick,3185,VIC,,Glen Eira,(03) 9076 7500,headspaceelsternwick@alfred.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/elsternwick/,2026-03-09,,,,true,verified
headspace Frankston,Mental Health & Counselling,Frankston,3199,VIC,,Frankston,(03) 9769 6419,headspace@headspacefrankston.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/frankston/,2026-03-09,,,,true,verified
headspace Geelong,Mental Health & Counselling,Geelong,3220,VIC,,Greater Geelong,(03) 5222 6690,headspace.Geelong@stride.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/geelong/,2026-03-09,,,,true,verified
headspace Glenroy,Mental Health & Counselling,Glenroy,3046,VIC,,Moreland,1300 880 218,Info-headspaceGlenroy@orygen.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/glenroy/,2026-03-09,,,,true,verified
headspace Greensborough,Mental Health & Counselling,Greensborough,3088,VIC,,Banyule,(03) 9433 7200,HeadspaceGreensborough@mindaustralia.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/greensborough/,2026-03-09,,,,true,verified
headspace Hamilton,Mental Health & Counselling,Hamilton,3300,VIC,,Southern Grampians,(03) 5500 7130,headspacehamilton@brophy.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/hamilton/,2026-03-09,,,,true,verified
headspace Hawthorn,Mental Health & Counselling,Hawthorn,3122,VIC,,Boroondara,(03) 9006 6500,headspace.enquiries@accesshc.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/hawthorn/,2026-03-09,,,,true,verified
headspace Horsham,Mental Health & Counselling,Horsham,3400,VIC,,Horsham Rural City,(03) 5381 1543,info.headspacehorsham@vt.uniting.org,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/horsham/,2026-03-09,,,,true,verified
headspace Knox,Mental Health & Counselling,Wantirna South,3152,VIC,,Knox,(03) 9801 6088,info@headspaceknox.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/knox/,2026-03-09,,,,true,verified
headspace Lilydale,Mental Health & Counselling,Lilydale,3140,VIC,,Yarra Ranges,(03) 9735 7900,headspacelilydale@each.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/lilydale/,2026-03-09,,,,true,verified
headspace Malvern,Mental Health & Counselling,Malvern,3144,VIC,,Stonnington,(03) 9006 6550,headspace.enquiries@accesshc.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/malvern/,2026-03-09,,,,true,verified
headspace Melton,Mental Health & Counselling,Melton,3338,VIC,,Melton,(03) 8065 5600,info-headspaceMelton@orygen.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/melton/,2026-03-09,,,,true,verified
headspace Mildura,Mental Health & Counselling,Mildura,3500,VIC,,Mildura,(03) 5021 2400,my.headspace@headspacemildura.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/mildura/,2026-03-09,,,,true,verified
headspace Morwell,Mental Health & Counselling,Morwell,3840,VIC,,Latrobe City,(03) 5136 8300,info@headspacemorwell.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/morwell/,2026-03-09,,,,true,verified
headspace Narre Warren,Mental Health & Counselling,Narre Warren,3805,VIC,,Casey,1800 367 968,headspaceNWenquiries@each.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/narre-warren/,2026-03-09,,,,true,verified
headspace Ocean Grove,Mental Health & Counselling,Point Lonsdale,3225,VIC,,Borough of Queenscliffe,(03) 5253 0400,headspaceoceangrove@bch.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/ocean-grove/,2026-03-09,,,,true,verified
headspace Pakenham,Mental Health & Counselling,Pakenham,3810,VIC,,Cardinia,1800 367 968,headspaceNWenquiries@each.com.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/pakenham/,2026-03-09,,,,true,verified
headspace Plenty Valley,Mental Health & Counselling,Mill Park,3082,VIC,,Whittlesea,(03) 9938 1940,headspaceplentyvalley@mindaustralia.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/plenty-valley/,2026-03-09,,,,true,verified
headspace Portland,Mental Health & Counselling,Portland,3305,VIC,,Glenelg Shire,(03) 5561 8850,HPortland@brophy.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/portland/,2026-03-09,,,,true,verified
headspace Rosebud,Mental Health & Counselling,Rosebud,3940,VIC,,Mornington Peninsula,(03) 5925 9464,headspace@headspacerosebud.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/rosebud/,2026-03-09,,,,true,verified
headspace Sale,Mental Health & Counselling,Sale,3850,VIC,,Wellington Shire,(03) 5184 5000,info@headspacesale.org.au,https://headspace.org.au/,,"headspace,youth mental health,young people,12-25",headspace centre providing mental health services to young people 12-25; well-placed to connect youth and families to autism workshop information.,https://headspace.org.au/headspace-centres/sale/,2026-03-09,,,,true,verified
