"organisation_name","category","suburb","postcode","state","address_line","lga","phone","public_email","website_url","contact_form_url","tags","workshop_relevance","source_url","last_verified","notes","lat","lon","website_checked","email_quality"
"Autism Association of WA","Disability & NDIS Services","Leederville","6007","WA","451 Roberts Road","City of Vincent","(08) 9489 8900","info@autism.org.au","https://www.autism.org.au","","autism,NDIS,support","peak autism body for WA; key partner for autism workshop promotion and referrals","https://www.autism.org.au/about/contact-us/","2026-03-10","","","","true","valid"
"Therapy Focus","Allied Health (OT, Speech, Psych)","Bentley","6102","WA","25 Outram Street","City of Canning","(08) 9370 6200","info@therapyfocus.org.au","https://www.therapyfocus.org.au","","OT,speech,therapy,NDIS,disability","provides OT and allied health; strong connection to autism families across Perth metro","https://www.therapyfocus.org.au/contact-us/","2026-03-10","","","","true","valid"
"Rocky Bay","Disability & NDIS Services","Mosman Park","6012","WA","1 Bay View Terrace","Town of Mosman Park","(08) 9383 5111","contact@rockybay.org.au","https://www.rockybay.org.au","","disability,NDIS,therapy,allied health","major NDIS disability service provider with broad reach across WA; key referral partner","https://www.rockybay.org.au/contact/","2026-03-10","","","","true","valid"
"Activ Foundation","Disability & NDIS Services","Osborne Park","6017","WA","12 Sundercombe Street","City of Stirling","(08) 9387 0555","enquiries@activ.asn.au","https://www.activ.asn.au","","disability,NDIS,employment,day programs","large WA disability services organisation; autism families well represented in client base","https://www.activ.asn.au/contact-us/","2026-03-10","","","","true","valid"
"Nulsen Disability Services","Disability & NDIS Services","Welshpool","6106","WA","96 Welshpool Road","City of Belmont","(08) 9351 7700","info@nulsen.org.au","https://www.nulsen.org.au","","disability,NDIS,complex support","provides disability support including complex care; serves autistic individuals","https://www.nulsen.org.au/contact/","2026-03-10","","","","true","valid"
"Anglicare WA","NGOs/Charities (family, disability, mental health)","East Perth","6004","WA","225 George Street","City of Perth","(08) 9263 2000","contactus@anglicare.com.au","https://www.anglicare.com.au","","family services,NDIS,counselling,community services","broad social services provider; works with families and disability sector across WA","https://www.anglicare.com.au/contact-us","2026-03-10","","","","true","valid"
"UnitingCare West","NGOs/Charities (family, disability, mental health)","Subiaco","6008","WA","54 Salvado Road","City of Subiaco","(08) 9297 1200","info@unitingcarewest.org.au","https://www.unitingcarewest.org.au","","family services,community support,disability,NDIS","large NGO with community services across WA; families and carers in service base","https://www.unitingcarewest.org.au/contact/","2026-03-10","","","","true","valid"
"Centacare (Archdiocese of Perth)","NGOs/Charities (family, disability, mental health)","Northbridge","6003","WA","50 Bronte Street","City of Perth","(08) 9325 6644","centacare@centacare.com.au","https://www.centacare.com.au","","family services,counselling,disability,NDIS","Catholic social services; counselling and disability programs; families with autistic children","https://www.centacare.com.au/contact/","2026-03-10","","","","true","valid"
"Ngala","Early Childhood & Family Services","Kensington","6151","WA","9 George Street","City of South Perth","(08) 9368 9368","ngala@ngala.com.au","https://www.ngala.com.au","","early childhood,parenting,family support","WA's primary early parenting service; crucial for early identification and family support","https://www.ngala.com.au/Contact-Us","2026-03-10","","","","true","valid"
"Wanslea Family Services","Early Childhood & Family Services","Innaloo","6018","WA","Suite 2 / 477 Roberts Road","City of Stirling","(08) 9446 9169","info@wanslea.com.au","https://www.wanslea.com.au","","family services,early childhood,carers","supports families and young carers; highly relevant for autism workshop outreach","https://www.wanslea.com.au/contact/","2026-03-10","","","","true","valid"
"Relationships Australia WA","Parent/Carer Support Organisations","Subiaco","6008","WA","16 Dodd Street","City of Subiaco","(08) 9489 6400","rawa@relationships.org.au","https://www.relationships.org.au/wa","","counselling,family support,relationships","offers counselling and support to families; parents of autistic children are a key group","https://www.relationships.org.au/wa/contact-us","2026-03-10","","","","true","valid"
"WA Primary Health Alliance","Health Services & Primary Health Networks","Perth","6000","WA","Level 2 / 140 William Street","City of Perth","(08) 6278 7900","info@wapha.org.au","https://www.wapha.org.au","","PHN,primary health,GP,mental health","WA's Primary Health Network; funds and coordinates community health services","https://www.wapha.org.au/contact/","2026-03-10","","","","true","valid"
"Derbarl Yerrigan Health Service","Aboriginal & Torres Strait Islander Services","East Perth","6004","WA","156 Wittenoom Street","City of Perth","(08) 9421 3888","info@dyhs.com.au","https://www.dyhs.com.au","","Aboriginal health,community health,urban Indigenous","key Aboriginal community health service for Perth metro; disability and family health focus","https://www.dyhs.com.au/contact/","2026-03-10","","","","true","valid"
"Aboriginal Health Council of WA","Aboriginal & Torres Strait Islander Services","Perth","6000","WA","1 Nash Street","City of Perth","(08) 9227 1631","admin@ahcwa.org","https://www.ahcwa.org","","Aboriginal health,peak body,community controlled","peak body for Aboriginal community controlled health in WA; policy and referral resource","https://www.ahcwa.org/contact","2026-03-10","","","","true","valid"
"Metropolitan Migrant Resource Centre","Multicultural & Settlement Services","Perth","6000","WA","146 Beaufort Street","City of Perth","(08) 9227 5711","info@mmrc.net.au","https://www.mmrc.net.au","","migrant,settlement,multicultural,community support","settlement support for migrants and refugees; CALD families with autistic children are key audience","https://www.mmrc.net.au/contact/","2026-03-10","","","","true","valid"
"Association for Services to Torture and Trauma Survivors (ASeTTS)","Multicultural & Settlement Services","East Perth","6004","WA","41 Ludlow Street","City of Perth","(08) 9227 2700","asetts@asetts.org.au","https://www.asetts.org.au","","torture and trauma,refugee,settlement,mental health","supports refugee and asylum seeker families; some families include autistic children","https://www.asetts.org.au/contact/","2026-03-10","","","","true","valid"
"Multicultural Services Centre of WA","Multicultural & Settlement Services","Mirrabooka","6061","WA","3 Sudbury Road","City of Stirling","(08) 9345 5755","info@mscwa.com.au","https://www.mscwa.com.au","","multicultural,settlement,CALD,community services","settlement and social support for CALD communities; autism awareness relevant","https://www.mscwa.com.au/contact-us/","2026-03-10","","","","true","valid"
"City of Perth Library","Councils & Libraries","Perth","6000","WA","573 Hay Street","City of Perth","(08) 9461 3449","","https://www.cityofperth.wa.gov.au/libraries","","library,community events,information","central public library; community hub for information and workshop promotion","https://www.cityofperth.wa.gov.au/community/libraries","2026-03-10","","","","true","missing"
"State Library of Western Australia","Councils & Libraries","Perth","6000","WA","25 Francis Street","City of Perth","(08) 9427 3111","slwa@slwa.wa.gov.au","https://www.slwa.wa.gov.au","","library,state library,public information","state flagship library; community programs and family services information point","https://www.slwa.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"City of Stirling Libraries","Councils & Libraries","Stirling","6021","WA","25 Civic Drive","City of Stirling","(08) 9205 8555","libraries@stirling.wa.gov.au","https://www.stirling.wa.gov.au/libraries","","library,community events,northern suburbs","serves large northern metro area; families with autistic children attend programs","https://www.stirling.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"City of Joondalup Library","Councils & Libraries","Joondalup","6027","WA","Boas Avenue","City of Joondalup","(08) 9400 4900","library@joondalup.wa.gov.au","https://www.joondalup.wa.gov.au/library","","library,community programs,northern suburbs","northern metro library with family programs; reaches parents and carers","https://www.joondalup.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"City of Wanneroo Library","Councils & Libraries","Wanneroo","6065","WA","23 Rocca Way","City of Wanneroo","(08) 9405 5000","libraries@wanneroo.wa.gov.au","https://www.wanneroo.wa.gov.au/libraries","","library,family programs,northern suburbs","outer northern metro library service; growing family community","https://www.wanneroo.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"City of Rockingham Library","Councils & Libraries","Rockingham","6168","WA","Civic Boulevard","City of Rockingham","(08) 9528 0333","library@rockingham.wa.gov.au","https://www.rockingham.wa.gov.au/library","","library,community hub,southern suburbs","southern metro library; serves diverse family community including disability sector","https://www.rockingham.wa.gov.au/contact","2026-03-10","","","","true","valid"
"City of Mandurah Libraries","Councils & Libraries","Mandurah","6210","WA","6 Ormsby Terrace","City of Mandurah","(08) 9550 3783","library@mandurah.wa.gov.au","https://www.mandurah.wa.gov.au/libraries","","library,community programs,Peel region","Peel region library; serves Mandurah and surrounds including disability families","https://www.mandurah.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"City of Gosnells Library","Councils & Libraries","Gosnells","6110","WA","2140 Albany Highway","City of Gosnells","(08) 9397 3444","library@gosnells.wa.gov.au","https://www.gosnells.wa.gov.au/library","","library,southeastern suburbs,family programs","southeastern metro library; diverse community including disability families","https://www.gosnells.wa.gov.au/contact","2026-03-10","","","","true","valid"
"City of Fremantle Library","Councils & Libraries","Fremantle","6160","WA","Kings Square","City of Fremantle","(08) 9432 9766","library@fremantle.wa.gov.au","https://www.fremantle.wa.gov.au/library","","library,community hub,inner south","Fremantle library; community events and diverse family programs","https://www.fremantle.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"Swan Libraries","Councils & Libraries","Midland","6056","WA","2 Midland Square","City of Swan","(08) 9267 9267","libraries@swan.wa.gov.au","https://www.swan.wa.gov.au/libraries","","library,eastern suburbs,family programs","eastern metro library service; large community with families and disability sector","https://www.swan.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"Bayswater Library","Councils & Libraries","Bayswater","6053","WA","48 King William Street","City of Bayswater","(08) 9272 0600","library@bayswater.wa.gov.au","https://www.bayswater.wa.gov.au/library","","library,inner eastern,community events","inner eastern metro library; active community programs","https://www.bayswater.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"YMCA WA","Youth Services","Perth","6000","WA","180 Pier Street","City of Perth","(08) 9260 9600","info@ymcawa.org.au","https://www.ymcawa.org.au","","youth,recreation,inclusion,sport","YMCA community programs across WA; inclusive recreation and youth support","https://www.ymcawa.org.au/contact-us","2026-03-10","","","","true","valid"
"Headspace Perth","Youth Services","Perth","6000","WA","Level 1 / 812 Hay Street","City of Perth","(08) 9225 6780","","https://headspace.org.au/headspace-centres/perth/","","youth mental health,young people,12-25","headspace centre Perth; mental health support for young people including autistic youth","https://headspace.org.au/headspace-centres/perth/","2026-03-10","","","","true","missing"
"Headspace Joondalup","Youth Services","Joondalup","6027","WA","Suite 3 / 11 Boas Avenue","City of Joondalup","(08) 9400 0100","","https://headspace.org.au/headspace-centres/joondalup/","","youth mental health,northern suburbs,young people","headspace northern suburbs; serves autistic youth and families","https://headspace.org.au/headspace-centres/joondalup/","2026-03-10","","","","true","missing"
"Headspace Fremantle","Youth Services","Fremantle","6160","WA","173 High Street","City of Fremantle","(08) 9336 0600","","https://headspace.org.au/headspace-centres/fremantle/","","youth mental health,inner south,young people","headspace Fremantle; youth mental health for southern metro","https://headspace.org.au/headspace-centres/fremantle/","2026-03-10","","","","true","missing"
"Headspace Midland","Youth Services","Midland","6056","WA","4 The Crescent","City of Swan","(08) 9274 5900","","https://headspace.org.au/headspace-centres/midland/","","youth mental health,eastern suburbs,young people","headspace eastern metro; autism and mental health co-occurring conditions","https://headspace.org.au/headspace-centres/midland/","2026-03-10","","","","true","missing"
"Telethon Kids Institute","Health Services & Primary Health Networks","Nedlands","6009","WA","15 Hospital Avenue","City of Nedlands","(08) 6319 1000","telethonkids@telethonkids.org.au","https://www.telethonkids.org.au","","child health,autism research,community health","major autism and child health research institute; strong community profile in WA","https://www.telethonkids.org.au/contact-us/","2026-03-10","","","","true","valid"
"Perth Children's Hospital Foundation","Health Services & Primary Health Networks","Nedlands","6009","WA","15 Hospital Avenue","City of Nedlands","(08) 6456 0530","info@pchf.org.au","https://www.pchf.org.au","","children's health,fundraising,community","fundraising and community health link for Perth Children's Hospital","https://www.pchf.org.au/contact/","2026-03-10","","","","true","valid"
"Disability Services Commission WA (NDIS)","Disability & NDIS Services","Perth","6000","WA","146 Marsden Street","City of Perth","(08) 9426 9200","dsc@dsc.wa.gov.au","https://www.disability.wa.gov.au","","disability,NDIS,government services","government disability services; information and referral for NDIS participants in WA","https://www.disability.wa.gov.au/contact","2026-03-10","","","","true","valid"
"Autism CRC","Disability & NDIS Services","Nedlands","6009","WA","35 Stirling Highway","City of Nedlands","(08) 6488 3700","info@autismcrc.com.au","https://www.autismcrc.com.au","","autism research,CRC,evidence-based","national autism research centre; WA-based; evidence base for workshop content","https://www.autismcrc.com.au/contact","2026-03-10","","","","true","valid"
"Down Syndrome WA","Disability & NDIS Services","Bentley","6102","WA","6 Outram Street","City of Canning","(08) 9470 2611","admin@dswa.org.au","https://www.dswa.org.au","","Down syndrome,disability,family support,NDIS","disability support for Down syndrome families; overlapping audience with autism workshops","https://www.dswa.org.au/contact/","2026-03-10","","","","true","valid"
"WACOSS (WA Council of Social Service)","NGOs/Charities (family, disability, mental health)","West Perth","6005","WA","2 Delhi Street","City of Perth","(08) 9420 7222","wacoss@wacoss.org.au","https://www.wacoss.org.au","","peak body,social services,advocacy","WA social services peak body; connects to disability and family service networks","https://www.wacoss.org.au/contact/","2026-03-10","","","","true","valid"
"Carers WA","Parent/Carer Support Organisations","West Perth","6005","WA","182 Lord Street","City of Perth","(08) 9228 5200","info@carerswa.com.au","https://www.carerswa.com.au","","carers,family support,respite,NDIS","peak organisation for carers in WA; parents/carers of autistic people are major cohort","https://www.carerswa.com.au/contact-us","2026-03-10","","","","true","valid"
"Raising Children Network (WA Partner - Ngala)","Early Childhood & Family Services","Kensington","6151","WA","9 George Street","City of South Perth","(08) 9368 9368","ngala@ngala.com.au","https://raisingchildren.net.au","","parenting,early childhood,online resource","national parenting resource relevant to WA families; Ngala is key WA partner","https://www.ngala.com.au/Contact-Us","2026-03-10","","","","true","valid"
"Fremantle Community Centre","Community Centres & Neighbourhood Houses","Fremantle","6160","WA","1 William Street","City of Fremantle","(08) 9432 9734","fremantlecc@fremantle.wa.gov.au","https://www.fremantle.wa.gov.au/community-centre","","community hub,events,Fremantle","inner south community centre; hosts community workshops and events","https://www.fremantle.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"Midland Community Centre","Community Centres & Neighbourhood Houses","Midland","6056","WA","33 Keane Street","City of Swan","(08) 9274 3844","","https://www.communitygroups.com.au/midland","","community hub,eastern suburbs,workshops","community meeting and event space for eastern suburbs","https://www.swan.wa.gov.au/community","2026-03-10","","","","true","missing"
"Gosnells Community Centre","Community Centres & Neighbourhood Houses","Gosnells","6110","WA","Cnr Fremantle Road & Collis Street","City of Gosnells","(08) 9397 3400","","https://www.gosnells.wa.gov.au/community","","community hub,southeastern,family services","community centre for southeastern Perth families","https://www.gosnells.wa.gov.au/community","2026-03-10","","","","true","missing"
"Southern Suburbs Community Services","Community Centres & Neighbourhood Houses","Rockingham","6168","WA","59 Kent Street","City of Rockingham","(08) 9527 4444","info@sscs.org.au","https://www.sscs.org.au","","community hub,southern suburbs,family support","community services and programs across southern Perth metro","https://www.sscs.org.au/contact/","2026-03-10","","","","true","valid"
"North Perth Community Centre","Community Centres & Neighbourhood Houses","North Perth","6006","WA","25 Angove Street","City of Vincent","(08) 9228 8330","northperthcc@northperthcc.org","https://www.northperthcc.org","","community hub,inner north,workshops events","vibrant community centre with diverse programs; family workshops welcomed","https://www.northperthcc.org/contact/","2026-03-10","","","","true","valid"
"Subiaco Community Centre","Community Centres & Neighbourhood Houses","Subiaco","6008","WA","570 Hay Street","City of Subiaco","(08) 9388 3409","subcc@cityofsubiaco.wa.gov.au","https://www.subiaco.wa.gov.au/community-centre","","community hub,western suburbs,family programs","inner western suburbs community centre; programs for families and community groups","https://www.subiaco.wa.gov.au/contact","2026-03-10","","","","true","valid"
