organisation_name,category,suburb,postcode,state,address_line,lga,phone,public_email,website_url,contact_form_url,tags,workshop_relevance,source_url,last_verified,notes,lat,lon,website_checked,email_quality
Avenue Neighbourhood House @ Eley (The),Neighbourhood House,Blackburn South,3130,VIC,87 Eley Road,Whitehorse,(03) 9808 2000,info@theavenue.org.au,https://theavenue.org.au,,"neighbourhood house,community centre,whitehorse",Community learning centre well-placed to connect families to local workshops.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Bennettswood Neighbourhood House,Neighbourhood House,Burwood,3125,VIC,7 Greenwood Street,Whitehorse,(03) 9888 0234,info@bennettswoodnh.org.au,https://bennettswoodnh.org.au,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Blackburn North Neighbourhood House,Neighbourhood House,Blackburn North,3130,VIC,109 Koonung Road,Whitehorse,(03) 9878 6632,admin@blackburnnorthnh.org.au,https://blackburnnorthnh.org.au,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Box Hill South Neighbourhood House,Neighbourhood House,Box Hill South,3128,VIC,47 Kitchener Street,Whitehorse,(03) 9898 8270,info@bhsnh.org.au,https://bhsnh.org.au,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Burwood Neighbourhood House,Neighbourhood House,Burwood,3125,VIC,1 Church Street,Whitehorse,(03) 9808 6292,burwoodn@bigpond.net.au,https://burwoodneighbourhoodhouse.org.au,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Clota Cottage Neighbourhood House,Neighbourhood House,Box Hill,3128,VIC,31 Clota Avenue,Whitehorse,(03) 9899 0062,admin@clotacottage.com.au,https://clotacottage.org.au,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Kerrimuir Neighbourhood House,Neighbourhood House,Box Hill North,3129,VIC,57 Linda Avenue,Whitehorse,(03) 9899 7660,info@kerrimuirhouse.org.au,https://kerrimuirhouse.org.au,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Louise Multicultural Community Centre,Neighbourhood House,Box Hill,3128,VIC,"Suite 8, Town Hall Hub, 27 Bank Street",Whitehorse,(03) 9285 4850,info@louise.org.au,https://louise.org.au,,"neighbourhood house,multicultural,whitehorse",Multicultural community centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Mitcham Community House,Neighbourhood House,Mitcham,3132,VIC,19 Brunswick Road,Whitehorse,(03) 9873 4587,info@mitchamcommunityhouse.org,https://mitchamcommunityhouse.org,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Vermont South Neighbourhood House,Neighbourhood House,Vermont South,3133,VIC,1 Karobran Drive,Whitehorse,(03) 9803 2335,info@vsnh.org.au,https://vsnh.org.au,,"neighbourhood house,whitehorse",Community learning centre.,https://www.whitehorse.vic.gov.au/things-do/neighbourhood-houses-and-community-centres,2026-03-09,,,,,
Allwood Neighbourhood House,Neighbourhood House,Hurstbridge,3099,VIC,901 Main Road,Nillumbik,(03) 9718 2717,,https://allwoodhouse.org.au,,"neighbourhood house,nillumbik",Community learning centre.,https://www.nillumbik.vic.gov.au/Explore/Libraries-and-community-centres/Neighbourhood-Houses,2026-03-09,,,,,
Diamond Creek Living & Learning Hub,Neighbourhood House,Diamond Creek,3089,VIC,119 Cowin Street,Nillumbik,(03) 9433 3744,,https://www.livinglearningnillumbik.vic.gov.au,,"neighbourhood house,nillumbik",Community learning centre.,https://www.nillumbik.vic.gov.au/Explore/Libraries-and-community-centres/Neighbourhood-Houses,2026-03-09,,,,,
Eltham Living & Learning Hub,Neighbourhood House,Eltham,3095,VIC,739 Main Road,Nillumbik,(03) 9433 3744,,https://www.livinglearningnillumbik.vic.gov.au,,"neighbourhood house,nillumbik",Community learning centre.,https://www.nillumbik.vic.gov.au/Explore/Libraries-and-community-centres/Neighbourhood-Houses,2026-03-09,,,,,
Panton Hill Living & Learning Hub,Neighbourhood House,Panton Hill,3759,VIC,18 Bishops Road,Nillumbik,(03) 9433 3744,,https://www.livinglearningnillumbik.vic.gov.au,,"neighbourhood house,nillumbik",Community learning centre.,https://www.nillumbik.vic.gov.au/Explore/Libraries-and-community-centres/Neighbourhood-Houses,2026-03-09,,,,,
Wadambuk St Andrews Community Centre,Neighbourhood House,St Andrews,3761,VIC,35 Caledonia Street,Nillumbik,(03) 9710 1223,,https://standrewscommunitycentre.org,,"neighbourhood house,nillumbik",Community learning centre.,https://www.nillumbik.vic.gov.au/Explore/Libraries-and-community-centres/Neighbourhood-Houses,2026-03-09,,,,,
Bairnsdale Neighbourhood House,Neighbourhood House,Bairnsdale,3875,VIC,27 Dalmahoy Street,East Gippsland,(03) 5152 5777,bairnsdalenh@ozemail.com.au,,,"neighbourhood house,east gippsland",Community neighbourhood house in regional Gippsland.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
Bemm River Community Centre,Neighbourhood House,Bemm River,3889,VIC,12 Roberts Road,East Gippsland,(03) 5158 4248,bemmaccomm@bigpond.com,,,"neighbourhood house,east gippsland",Community centre in regional Victoria.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
Benambra Neighbourhood House,Neighbourhood House,Benambra,3900,VIC,34 Gibbo Street,East Gippsland,0428 599 250,benambraneighbourhoodhouse@gmail.com,,,"neighbourhood house,east gippsland",Community neighbourhood house.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
Bendoc Resource Centre Neighbourhood House,Neighbourhood House,Bendoc,3888,VIC,Dowling Street,East Gippsland,(02) 6458 1402,bendocpa@bigpond.com.au,,,"neighbourhood house,east gippsland",Community neighbourhood house.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
Bruthen & District Neighbourhood House,Neighbourhood House,Bruthen,3885,VIC,51 Main Street,East Gippsland,0497 544 490,bruthenhouse@gmail.com,,,"neighbourhood house,east gippsland",Community neighbourhood house.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
Buchan Neighbourhood House,Neighbourhood House,Buchan,3885,VIC,6 Centre Road,East Gippsland,(03) 5155 9216,buchanbnh@bigpond.com,,,"neighbourhood house,east gippsland",Community neighbourhood house.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
Cann River Community Centre,Neighbourhood House,Cann River,3890,VIC,13 Princes Highway,East Gippsland,(03) 5158 6465,cann.river@bigpond.com,,,"neighbourhood house,east gippsland",Community centre.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
East Bairnsdale Community Hub,Neighbourhood House,East Bairnsdale,3875,VIC,24 Hoddinott Street,East Gippsland,1800 243 455,allan.williams@quantum.org.au,,,"neighbourhood house,east gippsland",Community hub.,https://www.eastgippsland.vic.gov.au/community/neighbourhood-houses,2026-03-09,,,,,
